Los Angeles,USA,APM Terminals Pier 400,APM Terminals,4600
New York,USA,Maher Terminals,NYK,3000
Long Beach,USA,Total Terminals ,Terminal Investment LTD,2880
Long Beach,USA,Long Beach Container Terminals,OOCL,2700
Houston,USA,Houston Terminal,Terminal Investment LTD,2500
New York,USA,APM Terminals Port elizabith (NJ),APM Terminals,2400
Long Beach,USA,Pacific Maritime Services Pier J,China COSCO Shipping,2400
Long Beach,USA,Pacific Container Terminal Pier J,SSA Marine,2400
Los Angeles,USA,Global Gateway South (Fenix),CMA CGM,2368
Long Beach,USA,"Pacific Maritime Services, Pier J",CMA CGM,2200
Oakland,USA,Oakland Internaitional Container Terminals (Berths 55-59),NYK,2000
Oakland,USA,Oakland Internaitional Container Terminals (Berths 55-59),SSA Marine,1955
Los Angeles,USA,West Basin Container Terminal,China COSCO Shipping,1900
Los Angeles,USA,West Basin Container Terminal,Yang Ming,1900
Los Angeles,USA,Yusen Terminals,NYK,1765
New York,USA,Port Newark Container Terminal ,Terminal Investment LTD,1625
Los Angeles,USA,TraPac Los Angeles Terminal,Mol,1620
Long Beach,USA,Pier A Berths A90-94,SSA Marine,1600
Los Angeles,USA,Container Terminal (Births 226-236),Evergreen,1440
Long Beach,USA,ITS Terminal (Pier G),K Line,1400
Prince Rupert,Canada,Fairview Terminals,DP World,1350
Seattle,USA,Terminal 18,SSA Marine,1275
Houston,USA,Terminal Link Texas,CMA CGM,1000
Jacksonville,USA,TraPac Jacksonville Terminal,Mol,1000
Long Beach,USA,Pier A Berths A90-94,Terminal Investment LTD,927
Seattle,USA,Terminal 30,China COSCO Shipping,900
Tacoma,USA,Pierce County Terminal,Evergreen,900
Montreal,Canada,Maisonneuve/Viau Terminals,NYK,900
Vancouver,Canada,Centerm,DP World,750
Montreal,USA,Termont Terminal (Maisonneuve/Viau),Terminal Investment LTD,735
Long Beach,USA,Berth C60,SSA Marine,682
Seattle,USA,Total Terminals ,Terminal Investment LTD,660
Tacoma,USA,Husky Terminal (Terminal 4),K Line,610
Oakland,USA,Ben E Nutter Terminal,Evergreen,600
Halifax,Canada,Fairview Cove Container Terminal,NYK,600
Oakland,USA,Berth 60-63,SSA Marine,572
Tacoma,USA,Olympic Container Terminal,Yang Ming,520
Tacoma,USA,APM Terminals Tacoma,APM Terminals,503
Oakland,USA,TrapPac Oakland Terminal,Mol,479
new Orleans,USA,Napoleon container terminal,NYK,476
Seattle,USA,Terminal 25/30,SSA Marine,470
Miami,USA,South Florida Container Terminal,CMA CGM,450
Los Angeles,USA,California United Terminals,Hyundai,420
Mobile,USA,Mobile Container Terminal,APM Terminals,406
new Orleans,USA,Napoleon Ave Container Terminal,Terminal Investment LTD,400
Miami,USA,South Florida Container Terminal,APM Terminals,350
"Freeport, TX",USA,Freeport Terminal,Terminal Investment LTD,300
Port Everglades,USA,Port Everglades Terminal,Terminal Investment LTD,250
Port St. John,Canada,Rodney Container Terminal,DP World,200
Jacksonville,USA,Jacksonville International Gateway,SSA Marine,200
Tacoma,USA,West Sitcum Terminal,SSA Marine,173
dutch Harbour,USA,APL Terminal,CMA CGM,30
Tacoma,USA,Washington United Terminal,Hyundai,
Long Beach,USA,Total Terminals International,Hyundai,
Seattle,USA,Total Terminals International,Hyundai,